index,sub_index,led_num,points_up,x,y,z
0,0,0,0,56.6549,151.104,91.6695
0,0,1,0,56.5751,150.744,92.2119
0,0,2,0,56.4954,150.383,92.7543
0,0,3,0,56.4157,150.023,93.2967
0,0,4,0,56.3359,149.662,93.8391
0,0,5,0,56.2562,149.301,94.3815
0,0,6,0,56.1765,148.941,94.9239
0,0,7,0,56.0967,148.580,95.4663
0,0,8,0,56.0170,148.220,96.0086
0,0,9,0,55.9373,147.859,96.5510
0,0,10,0,55.8575,147.499,97.0934
0,0,11,0,55.7778,147.138,97.6358
0,0,12,0,55.6981,146.778,98.1782
0,0,13,0,55.6183,146.417,98.7206
0,0,14,0,55.5386,146.056,99.2630
0,0,15,0,55.4589,145.696,99.8054
0,0,16,0,55.3791,145.335,100.348
0,0,17,0,55.2994,144.975,100.890
0,0,18,0,55.2197,144.614,101.433
0,0,19,0,55.1400,144.254,101.975
0,0,20,0,55.0602,143.893,102.517
0,0,21,0,54.9805,143.532,103.060
0,0,22,0,54.9008,143.172,103.602
0,0,23,0,54.8210,142.811,104.145
0,0,24,0,54.7413,142.451,104.687
0,0,25,0,54.6616,142.090,105.229
0,0,26,0,54.5818,141.730,105.772
0,0,27,0,54.5021,141.369,106.314
0,0,28,0,54.4224,141.008,106.856
0,0,29,0,54.3426,140.648,107.399
0,0,30,0,54.2629,140.287,107.941
0,0,31,0,54.1832,139.927,108.484
0,0,32,0,54.1034,139.566,109.026
0,0,33,0,54.0237,139.206,109.568
0,0,34,0,53.9440,138.845,110.111
0,0,35,0,53.9344,138.802,110.176
0,0,36,0,54.4925,138.802,109.831
0,0,37,0,55.0507,138.802,109.486
0,0,38,0,55.6089,138.802,109.141
0,0,39,0,56.1670,138.802,108.796
0,0,40,0,56.7252,138.802,108.451
0,0,41,0,57.2834,138.802,108.106
0,0,42,0,57.8415,138.802,107.761
0,0,43,0,58.3997,138.802,107.416
0,0,44,0,58.9579,138.802,107.071
0,0,45,0,59.5161,138.802,106.727
0,0,46,0,60.0742,138.802,106.382
0,0,47,0,60.6324,138.802,106.037
0,0,48,0,61.1906,138.802,105.692
0,0,49,0,61.7487,138.802,105.347
0,0,50,0,62.3069,138.802,105.002
0,0,51,0,62.8651,138.802,104.657
0,0,52,0,63.4232,138.802,104.312
0,0,53,0,63.9814,138.802,103.967
0,0,54,0,64.5396,138.802,103.622
0,0,55,0,65.0978,138.802,103.277
0,0,56,0,65.6559,138.802,102.932
0,0,57,0,66.2141,138.802,102.587
0,0,58,0,66.7723,138.802,102.242
0,0,59,0,67.3304,138.802,101.897
0,0,60,0,67.8886,138.802,101.552
0,0,61,0,68.4468,138.802,101.207
0,0,62,0,69.0049,138.802,100.862
0,0,63,0,69.5631,138.802,100.517
