index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
0,0,51.7190,159.175,83.6831,43.5668,134.085,123.035,90.5618,134.085,93.9900
0,1,83.6831,98.3753,135.402,43.5668,134.085,123.035,90.5618,134.085,93.9900
0,2,90.5618,134.085,93.9900,83.6831,98.3753,135.402,128.775,93.5605,98.3753
0,3,119.420,49.1877,135.402,83.6831,98.3753,135.402,128.775,93.5605,98.3753
0,4,128.775,93.5605,98.3753,119.420,49.1877,135.402,155.507,44.6949,93.9900
0,5,140.985,0.00000,123.035,119.420,49.1877,135.402,155.507,44.6949,93.9900
0,6,155.507,44.6949,93.9900,140.985,0.00000,123.035,167.366,0.00000,83.6831
0,7,43.5668,134.085,123.035,30.3996,93.5605,159.175,83.6831,98.3753,135.402
0,8,67.7010,49.1877,167.366,30.3996,93.5605,159.175,83.6831,98.3753,135.402
0,9,83.6831,98.3753,135.402,67.7010,49.1877,167.366,119.420,49.1877,135.402
0,10,98.3753,0.00000,159.175,67.7010,49.1877,167.366,119.420,49.1877,135.402
0,11,119.420,49.1877,135.402,98.3753,0.00000,159.175,140.985,0.00000,123.035
0,12,30.3996,93.5605,159.175,14.5223,44.6949,181.124,67.7010,49.1877,167.366
0,13,46.9950,0.00000,181.124,14.5223,44.6949,181.124,67.7010,49.1877,167.366
0,14,67.7010,49.1877,167.366,46.9950,0.00000,181.124,98.3753,0.00000,159.175
0,15,14.5223,44.6949,181.124,0.00000,0.00000,187.121,46.9950,0.00000,181.124
1,0,-135.402,98.3753,83.6831,-114.059,82.8689,123.035,-99.5370,127.564,93.9900
1,1,-67.7010,109.987,135.402,-114.059,82.8689,123.035,-99.5370,127.564,93.9900
1,2,-99.5370,127.564,93.9900,-67.7010,109.987,135.402,-49.1877,151.384,98.3753
1,3,-9.87744,128.775,135.402,-67.7010,109.987,135.402,-49.1877,151.384,98.3753
1,4,-49.1877,151.384,98.3753,-9.87744,128.775,135.402,5.54701,161.708,93.9900
1,5,43.5668,134.085,123.035,-9.87744,128.775,135.402,5.54701,161.708,93.9900
1,6,5.54701,161.708,93.9900,43.5668,134.085,123.035,51.7190,159.175,83.6831
1,7,-114.059,82.8689,123.035,-79.5873,57.8236,159.175,-67.7010,109.987,135.402
1,8,-25.8595,79.5873,167.366,-79.5873,57.8236,159.175,-67.7010,109.987,135.402
1,9,-67.7010,109.987,135.402,-25.8595,79.5873,167.366,-9.87744,128.775,135.402
1,10,30.3996,93.5605,159.175,-25.8595,79.5873,167.366,-9.87744,128.775,135.402
1,11,-9.87744,128.775,135.402,30.3996,93.5605,159.175,43.5668,134.085,123.035
1,12,-79.5873,57.8236,159.175,-38.0198,27.6230,181.124,-25.8595,79.5873,167.366
1,13,14.5223,44.6949,181.124,-38.0198,27.6230,181.124,-25.8595,79.5873,167.366
1,14,-25.8595,79.5873,167.366,14.5223,44.6949,181.124,30.3996,93.5605,159.175
1,15,-38.0198,27.6230,181.124,0.00000,0.00000,187.121,14.5223,44.6949,181.124
2,0,-135.402,-98.3753,83.6831,-114.059,-82.8689,123.035,-152.079,-55.2459,93.9900
2,1,-125.525,-30.3996,135.402,-114.059,-82.8689,123.035,-152.079,-55.2459,93.9900
2,2,-152.079,-55.2459,93.9900,-125.525,-30.3996,135.402,-159.175,1.67059e-14,98.3753
2,3,-125.525,30.3996,135.402,-125.525,-30.3996,135.402,-159.175,1.67059e-14,98.3753
