index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
0,0,54.9937,169.253,88.9816,46.3253,142.575,130.825,96.2959,142.575,99.9412
0,1,88.9816,104.604,143.975,46.3253,142.575,130.825,96.2959,142.575,99.9412
0,2,96.2959,142.575,99.9412,88.9816,104.604,143.975,136.929,99.4845,104.604
0,3,126.981,52.3021,143.975,88.9816,104.604,143.975,136.929,99.4845,104.604
0,4,136.929,99.4845,104.604,126.981,52.3021,143.975,165.354,47.5249,99.9412
0,5,149.912,0.00000,130.825,126.981,52.3021,143.975,165.354,47.5249,99.9412
0,6,165.354,47.5249,99.9412,149.912,0.00000,130.825,177.963,0.00000,88.9816
0,7,46.3253,142.575,130.825,32.3245,99.4845,169.253,88.9816,104.604,143.975
0,8,71.9877,52.3021,177.963,32.3245,99.4845,169.253,88.9816,104.604,143.975
0,9,88.9816,104.604,143.975,71.9877,52.3021,177.963,126.981,52.3021,143.975
0,10,104.604,0.00000,169.253,71.9877,52.3021,177.963,126.981,52.3021,143.975
0,11,126.981,52.3021,143.975,104.604,0.00000,169.253,149.912,0.00000,130.825
0,12,32.3245,99.4845,169.253,15.4418,47.5249,192.592,71.9877,52.3021,177.963
0,13,49.9706,0.00000,192.592,15.4418,47.5249,192.592,71.9877,52.3021,177.963
0,14,71.9877,52.3021,177.963,49.9706,0.00000,192.592,104.604,0.00000,169.253
0,15,15.4418,47.5249,192.592,0.00000,0.00000,198.969,49.9706,0.00000,192.592
1,0,-143.975,104.604,88.9816,-121.281,88.1160,130.825,-105.839,135.641,99.9412
1,1,-71.9877,116.951,143.975,-121.281,88.1160,130.825,-105.839,135.641,99.9412
1,2,-105.839,135.641,99.9412,-71.9877,116.951,143.975,-52.3021,160.969,104.604
1,3,-10.5029,136.929,143.975,-71.9877,116.951,143.975,-52.3021,160.969,104.604
1,4,-52.3021,160.969,104.604,-10.5029,136.929,143.975,5.89823,171.947,99.9412
1,5,46.3253,142.575,130.825,-10.5029,136.929,143.975,5.89823,171.947,99.9412
1,6,5.89823,171.947,99.9412,46.3253,142.575,130.825,54.9937,169.253,88.9816
1,7,-121.281,88.1160,130.825,-84.6266,61.4848,169.253,-71.9877,116.951,143.975
1,8,-27.4968,84.6266,177.963,-84.6266,61.4848,169.253,-71.9877,116.951,143.975
1,9,-71.9877,116.951,143.975,-27.4968,84.6266,177.963,-10.5029,136.929,143.975
1,10,32.3245,99.4845,169.253,-27.4968,84.6266,177.963,-10.5029,136.929,143.975
1,11,-10.5029,136.929,143.975,32.3245,99.4845,169.253,46.3253,142.575,130.825
1,12,-84.6266,61.4848,169.253,-40.4271,29.3720,192.592,-27.4968,84.6266,177.963
1,13,15.4418,47.5249,192.592,-40.4271,29.3720,192.592,-27.4968,84.6266,177.963
1,14,-27.4968,84.6266,177.963,15.4418,47.5249,192.592,32.3245,99.4845,169.253
1,15,-40.4271,29.3720,192.592,0.00000,0.00000,198.969,15.4418,47.5249,192.592
2,0,-143.975,-104.604,88.9816,-121.281,-88.1160,130.825,-161.708,-58.7440,99.9412
2,1,-133.472,-32.3245,143.975,-121.281,-88.1160,130.825,-161.708,-58.7440,99.9412
2,2,-161.708,-58.7440,99.9412,-133.472,-32.3245,143.975,-169.253,2.50588e-14,104.604
2,3,-133.472,32.3245,143.975,-133.472,-32.3245,143.975,-169.253,2.50588e-14,104.604
2,4,-169.253,1.67059e-14,104.604,-133.472,32.3245,143.975,-161.708,58.7440,99.9412
2,5,-121.281,88.1160,130.825,-133.472,32.3245,143.975,-161.708,58.7440,99.9412
2,6,-161.708,58.7440,99.9412,-121.281,88.1160,130.825,-143.975,104.604,88.9816
2,7,-121.281,-88.1160,130.825,-84.6266,-61.4848,169.253,-133.472,-32.3245,143.975
