index,sub_index,led_num,points_up,layer,x,y,z,triangle_center_x,triangle_center_y,triangle_center_z
0,0,0,0,3,56.6549,151.104,91.6695,61.9492,142.448,100.236
0,0,1,0,3,56.5751,150.744,92.2119,61.9492,142.448,100.236
0,0,2,0,3,56.4954,150.383,92.7543,61.9492,142.448,100.236
0,0,3,0,3,56.4157,150.023,93.2967,61.9492,142.448,100.236
0,0,4,0,3,56.3359,149.662,93.8391,61.9492,142.448,100.236
0,0,5,0,3,56.2562,149.301,94.3815,61.9492,142.448,100.236
0,0,6,0,3,56.1765,148.941,94.9239,61.9492,142.448,100.236
0,0,7,0,3,56.0967,148.580,95.4663,61.9492,142.448,100.236
0,0,8,0,3,56.0170,148.220,96.0086,61.9492,142.448,100.236
0,0,9,0,3,55.9373,147.859,96.5510,61.9492,142.448,100.236
0,0,10,0,3,55.8575,147.499,97.0934,61.9492,142.448,100.236
0,0,11,0,3,55.7778,147.138,97.6358,61.9492,142.448,100.236
0,0,12,0,3,55.6981,146.778,98.1782,61.9492,142.448,100.236
0,0,13,0,3,55.6183,146.417,98.7206,61.9492,142.448,100.236
0,0,14,0,3,55.5386,146.056,99.2630,61.9492,142.448,100.236
0,0,15,0,3,55.4589,145.696,99.8054,61.9492,142.448,100.236
0,0,16,0,3,55.3791,145.335,100.348,61.9492,142.448,100.236
0,0,17,0,3,55.2994,144.975,100.890,61.9492,142.448,100.236
0,0,18,0,3,55.2197,144.614,101.433,61.9492,142.448,100.236
0,0,19,0,3,55.1400,144.254,101.975,61.9492,142.448,100.236
0,0,20,0,3,55.0602,143.893,102.517,61.9492,142.448,100.236
0,0,21,0,3,54.9805,143.532,103.060,61.9492,142.448,100.236
0,0,22,0,3,54.9008,143.172,103.602,61.9492,142.448,100.236
0,0,23,0,3,54.8210,142.811,104.145,61.9492,142.448,100.236
0,0,24,0,3,54.7413,142.451,104.687,61.9492,142.448,100.236
0,0,25,0,3,54.6616,142.090,105.229,61.9492,142.448,100.236
0,0,26,0,3,54.5818,141.730,105.772,61.9492,142.448,100.236
