domeGroup,domeIndex,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z,ppGroup,ppPort,ppFirstLedOffset
0,0,66.3404,134.099,109.582,49.6495,147.395,101.002,69.964,146.094,90.2955,0,1,0
0,1,67.9764,132.125,109.988,65.1327,117.206,127.262,84.6982,117.206,115.17,0,1,105
0,2,105.42,97.9372,115.706,107.535,113.167,98.6008,89.9194,114.759,113.303,0,1,210
0,3,103.289,75.4024,132.949,120.945,73.4805,118.333,107.7,92.2814,117.96,0,1,315
0,4,125.72,69.9957,115.706,136.929,50.0559,113.303,140.859,67.3013,98.6008,0,2,0
0,5,146.664,23.8206,109.988,137.643,44.334,115.17,131.597,25.7261,127.262,0,2,105
0,6,148.023,22.6084,108.802,154.58,1.71057,101.793,160.625,20.3152,89.7034,0,2,210
0,7,56.1543,98.0072,146.245,61.3474,114.676,131.272,40.1964,113.438,140.223,0,2,315
0,8,51.3731,73.9124,161.02,72.5684,74.9335,152.146,57.8729,92.3184,148.855,0,3,0
0,9,79.2397,71.7862,150.087,92.7591,53.1783,150.087,98.8052,71.7862,137.995,0,3,105
0,10,86.17,26.0186,161.02,105.684,26.5125,148.855,93.6909,45.8609,152.146,0,3,210
0,11,110.555,23.3232,146.035,120.02,3.16684,140.278,128.032,22.6739,131.097,0,3,315
0,12,40.1049,50.0559,173.144,47.2665,69.9957,164.193,25.1973,67.3013,170.084,0,4,0
0,13,32.7766,23.8365,180.374,54.9688,25.7106,174.627,41.4742,44.3365,174.618,0,4,105
0,14,60.1604,22.908,173.212,71.6163,3.17487,170.316,81.3604,23.12,164.293,0,4,210
0,15,31.1178,22.6084,181.054,8.3994,20.3152,183.784,21.9164,1.71057,183.784,0,4,315
1,0,-107.035,104.532,109.582,-124.839,92.7671,101.002,-117.324,111.685,90.2955,1,1,0
1,1,-104.652,105.478,109.988,-91.3427,98.1636,127.262,-85.2966,116.772,115.17,1,1,105
1,2,-60.5674,130.524,115.706,-74.3984,137.243,98.6008,-81.3558,120.981,113.303,1,1,210
1,3,-39.7938,121.535,132.949,-32.5102,137.732,118.333,-54.4836,130.945,117.96,1,1,315
1,4,-27.7202,141.197,115.706,-5.29255,145.695,113.303,-20.4796,154.762,98.6008,1,2,0
1,5,16.1987,133.106,127.262,22.667,146.847,109.988,0.369847,144.606,115.17,1,2,105
1,6,24.2397,147.764,108.802,46.141,147.543,101.793,30.315,159.041,89.7034,1,2,210
1,7,-75.8578,83.6918,146.245,-90.106,93.7817,131.272,-95.4643,73.2833,140.223,1,2,315
1,8,-54.4197,71.6989,161.02,-48.8411,92.1724,152.146,-69.9163,83.5684,148.855,1,3,0
1,9,-37.7402,116.153,137.995,-43.7863,97.5446,150.087,-21.9114,104.652,150.087,1,3,105
1,10,1.88288,89.9927,161.02,7.44322,108.704,148.855,-14.6643,103.277,152.146,1,3,210
1,11,11.9818,112.352,146.035,34.0764,115.125,140.278,17.9999,128.772,131.097,1,3,315
1,12,-35.2128,53.6102,173.144,-51.9637,66.583,164.193,-56.2209,44.7613,170.084,1,4,0
1,13,-12.5413,38.5383,180.374,-7.4659,60.2234,174.627,-29.3503,53.145,174.618,1,4,105
1,14,-3.19619,64.2949,173.212,19.1112,69.0922,170.316,3.1533,84.5228,164.293,1,4,210
1,15,-11.886,36.5812,181.054,-16.7253,14.266,183.784,5.1457,21.3724,183.784,1,4,315
2,0,-132.492,-69.4944,109.582,-126.804,-90.062,101.002,-142.474,-77.0691,90.2955,2,1,0
2,1,-132.655,-66.9357,109.988,-121.586,-56.5379,127.262,-137.414,-45.0375,115.17,2,1,105
2,2,-142.852,-17.2688,115.706,-153.516,-28.3468,98.6008,-140.2,-39.9888,113.303,2,1,210
2,3,-127.883,-0.289805,132.949,-141.037,11.6425,118.333,-141.373,-11.3527,117.96,2,1,315
2,4,-142.852,17.2688,115.706,-140.2,39.9888,113.303,-153.516,28.3468,98.6008,2,2,0
2,5,-137.414,45.0375,115.17,-121.586,56.5379,127.262,-132.655,66.9357,109.988,2,2,105
2,6,-133.042,68.7151,108.802,-126.063,89.476,101.793,-141.889,77.9778,89.7034,2,2,210
2,7,-103.037,-46.2829,146.245,-117.036,-56.7158,131.272,-99.1966,-68.1462,140.223,2,2,315
2,8,-85.0063,-29.6,161.02,-102.754,-17.9678,152.146,-101.084,-40.6703,148.855,2,3,0
2,9,-122.13,2.27966E-14,137.995,-106.301,-11.5003,150.087,-106.301,11.5003,150.087,2,3,105
2,10,-85.0063,29.6,161.02,-101.084,40.6703,148.855,-102.754,17.9678,152.146,2,3,210
2,11,-103.15,46.114,146.035,-98.9598,67.9841,140.278,-116.908,56.9118,131.097,2,3,315
2,12,-61.8677,-16.923,173.144,-79.3818,-28.8452,164.193,-59.9438,-39.6373,170.084,2,4,0
2,13,-40.5276,-0.0184852,180.374,-59.583,11.5096,174.627,-59.6136,-11.4911,174.618,2,4,105
2,14,-62.1357,16.8285,173.212,-59.8049,39.5265,170.316,-79.4115,29.1179,164.293,2,4,210
2,15,-38.4638,3.5942E-15,181.054,-18.7362,-11.4983,183.784,-18.7362,11.4983,183.784,2,4,315
3,0,25.1509,-147.482,109.582,46.4695,-148.429,101.002,29.2701,-159.317,90.2955,3,1,0
3,1,16.1987,-133.106,127.262,0.369847,-144.606,115.17,22.667,-146.847,109.988,3,1,105
3,2,-27.7202,-141.197,115.706,-20.4796,-154.762,98.6008,-5.29255,-145.695,113.303,3,1,210
3,3,-39.2425,-121.714,132.949,-54.6555,-130.536,118.333,-32.8896,-137.962,117.96,3,1,315
3,4,-60.5674,-130.524,115.706,-81.3558,-120.981,113.303,-74.3984,-137.243,98.6008,3,2,0
3,5,-104.652,-105.478,109.988,-85.2966,-116.772,115.17,-91.3427,-98.1636,127.262,3,2,105
3,6,-106.464,-105.296,108.802,-124.052,-92.2438,101.793,-118.007,-110.848,89.7034,3,2,210
3,7,12.1774,-112.296,146.245,17.7738,-128.834,131.272,34.1575,-115.4,140.223,3,2,315
3,8,1.88288,-89.9927,161.02,-14.6643,-103.277,152.146,7.44322,-108.704,148.855,3,3,0
3,9,-37.7402,-116.153,137.995,-21.9114,-104.652,150.087,-43.7863,-97.5446,150.087,3,3,105
3,10,-54.4197,-71.6989,161.02,-69.9163,-83.5684,148.855,-48.8411,-92.1724,152.146,3,3,210
3,11,-75.7322,-83.8517,146.035,-95.2369,-73.1081,140.278,-90.2528,-93.599,131.097,3,3,315
3,12,-3.02348,-64.0691,173.144,2.90308,-84.4103,164.193,19.1736,-69.2585,170.084,3,4,0
3,13,-12.5061,-38.5497,180.374,-29.3584,-53.1101,174.627,-7.49296,-60.2469,174.618,3,4,105
3,14,-35.2058,-53.8943,173.212,-56.0727,-44.6635,170.316,-52.2323,-66.5269,164.293,3,4,210
3,15,-11.886,-36.5812,181.054,5.1457,-21.3724,183.784,-16.7253,-14.266,183.784,3,4,315
4,0,148.036,-21.6546,109.582,155.524,-1.67185,101.002,160.564,-21.394,90.2955,4,1,0
4,1,131.597,-25.7261,127.262,137.643,-44.334,115.17,146.664,-23.8206,109.988,4,1,105
4,2,125.72,-69.9957,115.706,140.859,-67.3013,98.6008,136.929,-50.0559,113.303,4,1,210
4,3,103.63,-74.9335,132.949,107.258,-92.3184,118.333,121.046,-73.9124,117.96,4,1,315
4,4,105.42,-97.9372,115.706,89.9194,-114.759,113.303,107.535,-113.167,98.6008,4,2,0
4,5,67.9764,-132.125,109.988,84.6982,-117.206,115.17,65.1327,-117.206,127.262,4,2,105
4,6,67.2435,-133.792,108.802,49.3947,-146.486,101.793,68.9568,-146.486,89.7034,4,2,210
4,7,110.563,-23.12,146.245,128.021,-22.908,131.272,120.307,-3.17487,140.223,4,2,315
4,8,86.17,-26.0186,161.02,93.6909,-45.8609,152.146,105.684,-26.5125,148.855,4,3,0
4,9,98.8052,-71.7862,137.995,92.7591,-53.1783,150.087,79.2397,-71.7862,150.087,4,3,105
4,10,51.3731,-73.9124,161.02,57.8729,-92.3184,148.855,72.5684,-74.9335,152.146,4,3,210
4,11,56.3452,-97.9372,146.035,40.1001,-113.167,140.278,61.1283,-114.759,131.097,4,3,315
